booth_number,pdf_file,18-21_Male,18-21_Female,18-21_Total,18-21_Male%,18-21_Female%,18-21_of_Booth%,22-29_Male,22-29_Female,22-29_Total,22-29_Male%,22-29_Female%,22-29_of_Booth%,30-39_Male,30-39_Female,30-39_Total,30-39_Male%,30-39_Female%,30-39_of_Booth%,40-49_Male,40-49_Female,40-49_Total,40-49_Male%,40-49_Female%,40-49_of_Booth%,50-59_Male,50-59_Female,50-59_Total,50-59_Male%,50-59_Female%,50-59_of_Booth%,60-69_Male,60-69_Female,60-69_Total,60-69_Male%,60-69_Female%,60-69_of_Booth%,70+_Male,70+_Female,70+_Total,70+_Male%,70+_Female%,70+_of_Booth%,Booth_Total_Male,Booth_Total_Female,Booth_Total_Other,Booth_Total,Booth_Male%,Booth_Female%
1,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-1-WI.pdf,14,12,26,53.8,46.2,4.6,38,47,85,44.7,55.3,15.1,45,56,101,44.6,55.4,17.9,69,75,144,47.9,52.1,25.6,58,54,112,51.8,48.2,19.9,34,27,61,55.7,44.3,10.8,20,14,34,58.8,41.2,6.0,278,285,0,563,49.4,50.6
2,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-2-WI.pdf,13,16,29,44.8,55.2,4.0,49,56,105,46.7,53.3,14.6,65,74,139,46.8,53.2,19.3,92,95,187,49.2,50.8,26.0,80,58,138,58.0,42.0,19.2,39,34,73,53.4,46.6,10.2,21,27,48,43.8,56.2,6.7,359,360,0,719,49.9,50.1
3,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-3-WI.pdf,9,8,17,52.9,47.1,3.2,43,33,76,56.6,43.4,14.2,53,52,105,50.5,49.5,19.7,67,60,127,52.8,47.2,23.8,53,40,93,57.0,43.0,17.4,34,39,73,46.6,53.4,13.7,19,24,43,44.2,55.8,8.1,278,256,0,534,52.1,47.9
4,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-4-WI.pdf,5,7,12,41.7,58.3,3.3,21,20,41,51.2,48.8,11.3,28,37,65,43.1,56.9,17.9,37,46,83,44.6,55.4,22.9,38,42,80,47.5,52.5,22.0,31,24,55,56.4,43.6,15.2,11,16,27,40.7,59.3,7.4,171,192,0,363,47.1,52.9
5,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-5-WI.pdf,6,6,12,50.0,50.0,2.0,44,34,78,56.4,43.6,12.8,62,66,128,48.4,51.6,21.1,61,68,129,47.3,52.7,21.2,80,64,144,55.6,44.4,23.7,41,31,72,56.9,43.1,11.8,22,23,45,48.9,51.1,7.4,316,292,0,608,52.0,48.0
6,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-6-WI.pdf,11,13,24,45.8,54.2,2.6,71,50,121,58.7,41.3,13.0,106,96,202,52.5,47.5,21.7,118,105,223,52.9,47.1,24.0,74,90,164,45.1,54.9,17.6,61,61,122,50.0,50.0,13.1,39,36,75,52.0,48.0,8.1,480,451,0,931,51.6,48.4
7,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-7-WI.pdf,10,7,17,58.8,41.2,3.4,36,41,77,46.8,53.2,15.5,45,42,87,51.7,48.3,17.5,40,47,87,46.0,54.0,17.5,64,61,125,51.2,48.8,25.1,35,26,61,57.4,42.6,12.2,21,23,44,47.7,52.3,8.8,251,247,0,498,50.4,49.6
8,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-8-WI.pdf,5,4,9,55.6,44.4,2.0,27,31,58,46.6,53.4,12.9,40,53,93,43.0,57.0,20.7,49,56,105,46.7,53.3,23.3,48,42,90,53.3,46.7,20.0,24,34,58,41.4,58.6,12.9,23,14,37,62.2,37.8,8.2,216,234,0,450,48.0,52.0
9,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-9-WI.pdf,16,12,28,57.1,42.9,4.3,48,52,100,48.0,52.0,15.5,59,51,110,53.6,46.4,17.1,80,95,175,45.7,54.3,27.1,67,57,124,54.0,46.0,19.2,40,31,71,56.3,43.7,11.0,14,23,37,37.8,62.2,5.7,324,321,0,645,50.2,49.8
10,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-10-WI.pdf,9,11,20,45.0,55.0,3.2,43,40,83,51.8,48.2,13.3,62,68,130,47.7,52.3,20.8,71,72,143,49.7,50.3,22.8,57,58,115,49.6,50.4,18.4,38,41,79,48.1,51.9,12.6,22,34,56,39.3,60.7,8.9,302,324,0,626,48.2,51.8
