part_no,lat,lon,tier,source,street,street_key,locality,locality_key,door_no,pincode
1,13.101812,80.277596,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
2,13.101812,80.279934,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
3,13.098572,80.279338,street,nominatim:street,Mint Street,mint street,Kondithope,kondithope,508,600079
4,13.098572,80.280733,street,nominatim:street,Mint Street,mint street,Kondithope,kondithope,508,600079
5,13.101812,80.279293,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
6,13.101812,80.279083,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
7,13.101812,80.279758,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
8,13.101812,80.278379,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
9,13.101812,80.279265,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
10,13.101812,80.280502,locality,nominatim:locality,Saravanan Street,saravanan street,Kondithope,kondithope,2,600079
11,13.101715,80.277974,locality,nominatim:locality,Kondal Street,kondal street,Kondithope,kondithope,9,600079
12,13.101715,80.28005,locality,nominatim:locality,Kondal Street,kondal street,Kondithope,kondithope,9,600079
13,13.101715,80.278135,locality,nominatim:locality,Kondal Street,kondal street,Kondithope,kondithope,9,600079
14,13.101715,80.279905,locality,nominatim:locality,Kondal Street,kondal street,Kondithope,kondithope,9,600079
15,13.099389,80.280225,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,199,600079
16,13.099389,80.280714,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,199,600079
17,13.099389,80.280737,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,199,600079
18,13.099389,80.28092,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,199,600079
19,13.099664,80.278217,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,130,600079
20,13.099664,80.279473,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,130,600079
21,13.099191,80.277243,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,225,600079
22,13.099191,80.276747,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,225,600079
23,13.099191,80.278835,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,225,600079
24,13.099191,80.276435,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,225,600079
25,13.099191,80.277368,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,225,600079
26,13.099664,80.277963,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,130,600079
27,13.099664,80.276824,street,nominatim:street,Amman Koil Street,amman koil street,Kondithope,kondithope,130,600079
28,13.088987,80.278391,locality,nominatim:locality,V.O.C Salai,v o c salai,Sowcarpet,sowcarpet,143,600079
29,13.088987,80.277748,locality,nominatim:locality,V.O.C Salai,v o c salai,Sowcarpet,sowcarpet,143,600079
30,13.088987,80.276719,locality,nominatim:locality,V.O.C Salai,v o c salai,Sowcarpet,sowcarpet,143,600079
31,13.088987,80.279505,locality,nominatim:locality,V.O.C Salai,v o c salai,Sowcarpet,sowcarpet,143,600079
32,13.089367,80.277523,locality,nominatim:locality,Annapillai Street,annapillai street,Sowcarpet,sowcarpet,87,600079
33,13.089367,80.277912,locality,nominatim:locality,Annapillai Street,annapillai street,Sowcarpet,sowcarpet,87,600079
34,13.089367,80.278711,locality,nominatim:locality,Annapillai Street,annapillai street,Sowcarpet,sowcarpet,87,600079
35,13.088987,80.279019,locality,nominatim:locality,V.O.C Salai,v o c salai,Sowcarpet,sowcarpet,143,600079
36,13.088987,80.276797,locality,nominatim:locality,V.O.C Salai,v o c salai,Sowcarpet,sowcarpet,143,600079
37,13.099345,80.279369,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,209,600079
38,13.099345,80.280203,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,209,600079
39,13.099345,80.281214,street,nominatim:street,Mint Street,mint street,Sowcarpet,sowcarpet,209,600079
40,13.102644,80.281042,street,nominatim:street,Sevenwells Street,sevenwells street,Sevenwells,sevenwells,12,600001
