locality_key,display,lat,lon,display_name,state,class,type
kondithope,Kondithope,13.1000404,80.2790836,"Kondithope, CMWSSB Division 54, Ward 54, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,locality
sowcarpet,Sowcarpet,13.0884967,80.2783092,"Sowcarpet, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,neighbourhood
sevenwells,Sevenwells,13.1010090,80.2822114,"Seven Wells Street, CMWSSB Division 55, Ward 55, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
muthaiyalpet,Muthaiyalpet,13.1043890,80.2868282,"Muthialpet Roundabout, CMWSSB Division 52, Ward 52, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600021, India",Tamil Nadu,,primary
broadway,Broadway,13.0926798,80.2859959,"Broadway Road, CMWSSB Division 60, Ward 60, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,secondary
muthialpet,Muthialpet,13.1043890,80.2868282,"Muthialpet Roundabout, CMWSSB Division 52, Ward 52, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600021, India",Tamil Nadu,,primary
muthaialpet,Muthaialpet,13.1043890,80.2868282,"Muthialpet Roundabout, CMWSSB Division 52, Ward 52, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600021, India",Tamil Nadu,,primary
vallal seethakhadhi,Vallal Seethakhadhi,,,,,,
vallal seethakathi,Vallal Seethakathi,,,,,,
kachaleeswarar,Kachaleeswarar,13.0933153,80.2878910,"Kachaleeswarar Temple, Armenian Street, CMWSSB Division 60, Ward 60, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,place_of_worship
elephant gate,Elephant Gate,13.0924589,80.2692429,"Elephant Gate Bridge Road, CMWSSB Division 78, Choolai, Ward 78, Zone 6 Thiru. Vi. Ka. Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600001, India",Tamil Nadu,,secondary
elephantgate,Elephantgate,13.0924589,80.2692429,"Elephant Gate Bridge Road, CMWSSB Division 78, Choolai, Ward 78, Zone 6 Thiru. Vi. Ka. Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600001, India",Tamil Nadu,,secondary
edapalayam,Edapalayam,,,,,,
park town,Park Town,13.0863491,80.2727321,"Park Town, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600001, India",Tamil Nadu,,suburb
island ground,Island Ground,13.0778839,80.2780916,"Kendriya Vidyalaya Island Grounds, Burial Ground Road, CMWSSB Division 59, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600009, India",Tamil Nadu,,school
