street_key,display,lat,lon,display_name,state,class,type
saravanan street,Saravanan Street,,,,,,
mint street,Mint Street,13.0991846,80.2801066,"Mint Street, CMWSSB Division 55, Ward 55, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,tertiary
kondal street,Kondal Street,,,,,,
amman koil street,Amman Koil Street,13.0990960,80.2776764,"Amman Koil Street, CMWSSB Division 54, Ward 54, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
v o c salai,V.O.C Salai,,,,,,
annapillai street,Annapillai Street,,,,,,
sevenwells street,Sevenwells Street,13.1010090,80.2822114,"Seven Wells Street, CMWSSB Division 55, Ward 55, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
portuguese church street,Portuguese Church Street,,,,,,
shanmugam street,Shanmugam Street,,,,,,
st xavier street,St. Xavier Street,13.0990655,80.2850272,"St. Anne's Girls Higher Secondary School / St. Francis Xavier's Primary School / St. Anne's Convent, Francisturin Street, CMWSSB Division 56, Ward 56, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,school
pattu rasappa street,Pattu Rasappa Street,,,,,,
porchuges church street,Porchuges Church Street,,,,,,
acharappan street,Acharappan Street,13.0949051,80.2837267,"Acharappan Street, CMWSSB Division 55, Ward 55, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
prakasam salai,Prakasam Salai,,,,,,
chapel street,Chapel Street,,,,,,
broadway,Broadway,13.0926798,80.2859959,"Broadway Road, CMWSSB Division 60, Ward 60, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,secondary
pidariyar koil street,Pidariyar Koil Street,,,,,,
saiva muthiah street,Saiva Muthiah Street,13.1032647,80.2883055,"Saiva Muthiah Mudali Street, CMWSSB Division 56, Ward 56, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600021, India",Tamil Nadu,,living_street
salaivinayagar koil street,Salaivinayagar Koil Street,,,,,,
coral merchant street,Coral Merchant Street,13.0989097,80.2894891,"Coral Merchant Street 2, CMWSSB Division 56, Ward 56, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
venkat ayyar street,Venkat Ayyar Street,,,,,,
ramasamy street,Ramasamy Street,13.0984472,80.2889162,"Chennai Middle School, Ramasamy Street, Ramaswamy Street, CMWSSB Division 56, Ward 56, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,school
linghi street,Linghi Street,13.0986151,80.2906080,"Linghi Chetty Street, CMWSSB Division 56, Ward 56, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
angappan street,Angappan Street,13.0974556,80.2909044,"Angappan Street, CMWSSB Division 60, Ward 56, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,residential
north beach road,North Beach Road,13.0899215,80.2904578,"B1 North Beach Police Station, Rajaji Salai, CMWSSB Division 60, Ward 60, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600009, India",Tamil Nadu,,police
