street_key,display,lat,lon,display_name,state,class,type
west coovam river road,West Coovam River Road,,,,,,
lebend street,Lebend Street,,,,,,
east coovam river road,East Coovam River Road,,,,,,
ayya street,Ayya Street,13.0604337,80.2761902,"Ayya Street, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,residential
lepond street,Lepond Street,,,,,,
guruvappa street,Guruvappa Street,13.0733134,80.2688217,"Guruvappa Street, CMWSSB Division 62, Ward 62, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600003, India",Tamil Nadu,,residential
washermen street,Washermen street,,,,,,
singanna street,Singanna Street,13.0891774,80.2767030,"Singanna Street, CMWSSB Division 59, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Tamil Nadu,,living_street
subburayan street,Subburayan Street,,,,,,
nagappa street,Nagappa Street,13.0622379,80.2737589,"Nagappa Iyer Street, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,residential
rd lane,rd Lane,,,,,,
venkatachala street,Venkatachala Street,13.0696538,80.2677504,"Venkatachala Street, CMWSSB Division 63, Ward 63, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600003, India",Tamil Nadu,,residential
meerhasan hussain street,Meerhasan Hussain Street,,,,,,
saibul mulk street,Saibul Mulk street,,,,,,
south coovam river road,South coovam river Road,,,,,,
c s i middle school bharathi salai,C.S.I. Middle School Bharathi Salai,,,,,,
ameerunnissa street,Ameerunnissa Street,,,,,,
chella pillaiyar koil street,CHELLA PILLAIYAR KOIL STREET,,,,,,
bharathi salai,Bharathi Salai,13.0575980,80.2812821,"Bharathi Salai, CMWSSB Division 116, Ward 116, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,tertiary
bharthi salai,Bharthi salai,,,,,,
new side bharathi salai,New Side Bharathi Salai,,,,,,
old buliding pillaiyar kovil street,old Buliding Pillaiyar Kovil Street,,,,,,
veeraghavan street,Veeraghavan Street,,,,,,
bells road,Bells Road,,,,,,
old buliding venkatarangam street,Old Buliding Venkatarangam Street,,,,,,
peyalwar koil street,Peyalwar Koil Street,13.0542094,80.2763724,"Peyalwar Koil Street, CMWSSB Division 116, Ward 116, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,residential
kamaraj salai,Kamaraj Salai,13.0490327,80.2496348,"Kamaraj Memorial, Anna Salai (Mount Road), CMWSSB Division 117, Ward 117, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Tamil Nadu,,memorial
venkatrangam pillai street,Venkatrangam Pillai Street,,,,,,
st lane,st lane,13.0431953,80.2630011,"Saint Ebbas Lane, CMWSSB Division 119, Ward 119, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Tamil Nadu,,residential
sunguwar street,Sunguwar Street,,,,,,
sunguwar lane,Sunguwar Lane,,,,,,
dr besant road,Dr.Besant Road,13.0518748,80.2762884,"Besant Road, CMWSSB Division 116, Ward 116, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,secondary
thulasinga perumal koil street,Thulasinga Perumal Koil Street,,,,,,
bandy venkatesa street,Bandy Venkatesa Street,,,,,,
singaram street,Singaram Street,,,,,,
nd street,nd Street,,,,,,
vasudevapuram ist lane,Vasudevapuram Ist Lane,,,,,,
hanumantha rayan koil street,Hanumantha Rayan Koil Street,13.0524618,80.2782062,"Hanumantha Rayan Koil Street, CMWSSB Division 116, Ward 116, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,residential
north tank squaire,North Tank Squaire,,,,,,
big street,Big Street,13.0564721,80.2756773,"big street(veera ragavan street), CMWSSB Division 116, Ward 116, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,residential
quide e millet salai,Quide E Millet Salai,,,,,,
mani s nursery school sheik dawood street,Mani's Nursery School Sheik Dawood Street,,,,,,
sorrappa street,Sorrappa Street,,,,,,
gazeette begam street,gazeette begam street,,,,,,
sheik dawood street,Sheik Dawood Street,,,,,,
st street,st street,13.0590211,80.2813834,"Presidency College, Chennai, Chepauk Railway Street, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,college
rd street,rd Street,13.0583237,80.2658874,"Pycrofts 1st Street, CMWSSB Division 63, Ward 63, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600014, India",Tamil Nadu,,tertiary
ponnapa lane,Ponnapa lane,,,,,,
angamuthu street,Angamuthu Street,,,,,,
muzafurjung bagadhur street,Muzafurjung Bagadhur Street,,,,,,
th street,th Street,,,,,,
nd lane,nd lane,,,,,,
th lane,th Lane,,,,,,
rasul umar bagadhur main road,Rasul Umar Bagadhur Main Road,,,,,,
peters road,Peters Road,13.0532380,80.2713496,"Peters Road, CMWSSB Division 120, Ward 120, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600014, India",Tamil Nadu,,secondary
west cott road,West Cott Road,,,,,,
mohammed hussain street,Mohammed Hussain Street,,,,,,
johny john khan road,johny john khan Road,,,,,,
manicka mesthiri street,manicka mesthiri street,,,,,,
mirza hyder alikhan street,Mirza Hyder Alikhan Street,,,,,,
vathiyar chinna street,Vathiyar Chinna Street,,,,,,
vengatachala street,vengatachala street,,,,,,
kamaraj street,Kamaraj Street,13.0490493,80.2483265,"Kamaraj Arangam, Mayor Sundar Rao Street, CMWSSB Division 117, Ward 117, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Tamil Nadu,,theatre
periyar street,Periyar Street,,,,,,
dr rathakrishnan road,Dr. Rathakrishnan Road,,,,,,
gowdiya mutt road,Gowdiya Mutt Road,,,,,,
