station_no,SEKARBABU. P.K,RAVIKUMAR. C,VINOJ. P. SELVAM,AHAMED FAZIL. M,SANTHANA KRISHNAN.,RAMESH. A,ANANDRAJ. T.K,UDHAYAKUMAR. V,GANESH. S,KAMAL. J,KRISHNAKUMAR. G,SHANKAR. A,CHANDRAN. R,SIVARAMAN. G,ZIONRAJ. M,SURESH. R,SELVAM. P,SELVAKUMAR. R,SELVARAJ. S,DAMODHARAN. A.G,NAGARAJ. S,PUGALENTHI. P,MAHALINGAM. D,RAGHUNATH. K,RAMESH. D,RAMKI. P,VIVEK RAM. A,SRINIVASAN. P,nota,rejected,total,total_valid
1,191,1,113,13,1,26,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,354,349
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,32,34,31
2,304,2,154,13,3,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,517,513
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,32,34,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,32,34,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,32,34,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,32,34,31
3,183,4,342,13,4,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,586,579
4,100,0,212,2,1,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,335,332
5,111,2,190,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,332,324
6,272,0,235,18,8,43,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,8,0,591,583
7,146,0,147,7,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,335,331
8,80,0,112,7,6,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,225,222
9,143,1,167,16,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,349,347
10,216,1,240,22,3,26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,8,0,520,512
11,150,5,251,16,2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,450,445
12,151,0,210,13,4,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,395,392
13,140,4,342,11,1,8,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,1,0,7,0,519,512
14,118,1,255,6,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,399,393
15,78,4,366,6,1,12,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,477,471
16,84,2,329,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,449,439
17,74,1,221,3,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,314,310
18,66,3,251,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,334,329
19,388,4,102,12,1,6,0,0,1,0,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,523,522
20,145,0,254,15,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,435,434
21,226,4,144,16,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,419,418
22,113,2,127,11,3,22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,284,280
23,245,0,186,18,2,29,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,493,488
24,138,2,195,8,2,15,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,369,364
25,75,2,252,7,1,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,354,349
26,289,1,86,11,1,15,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,412,408
27,130,1,260,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,420,415
28,154,1,226,9,1,23,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,421,417
29,299,2,95,12,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,434,429
30,400,7,71,25,6,5,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,2,0,1,0,523,522
31,169,4,288,20,2,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,503,502
32,103,2,257,10,1,10,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,4,0,392,388
33,298,2,229,20,0,22,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,578,575
34,96,1,381,3,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,512,502
35,89,3,281,2,0,12,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,397,391
36,98,6,218,6,1,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,345,342
37,95,2,277,5,0,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,393,390
38,193,0,176,32,3,29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,441,435
39,285,1,26,12,2,13,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,343,343
40,397,1,25,16,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,467,461
41,333,1,127,26,4,40,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,541,535
42,274,1,48,21,5,22,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,379,374
43,340,7,69,34,6,19,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,1,5,0,488,483
44,298,1,119,21,3,28,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,475,473
45,325,1,90,10,2,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,8,0,475,467
46,305,4,204,20,8,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,10,0,592,582
47,216,2,91,22,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,362,355
48,232,1,43,20,1,21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,8,0,330,322
49,338,1,83,19,3,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,478,476
50,236,1,100,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,372,370
51,223,0,93,8,2,16,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,347,345
52,148,0,249,10,2,15,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,434,428
53,113,0,232,7,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,372,363
54,348,3,60,22,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,451,449
55,334,0,56,14,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,419
56,108,1,291,10,5,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,428,425
57,379,0,170,13,9,7,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,586,583
58,190,0,141,15,8,11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0,375,369
59,305,0,29,14,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,359
60,65,1,207,8,2,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,294,291
61,149,1,178,8,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,356,352
62,538,1,67,34,2,11,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,3,0,661,658
63,259,1,100,7,4,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,389,385
64,325,1,9,10,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,358,356
65,238,0,148,15,3,13,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,426,422
66,417,0,10,13,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,3,0,453,450
67,100,0,13,12,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,135,135
68,315,0,14,17,1,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,361,360
69,282,0,54,17,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,370,368
70,286,0,46,23,3,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,380,378
71,450,4,48,31,6,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,560,557
72,219,2,66,25,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,349,344
73,226,0,43,28,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,330,328
74,331,1,74,18,4,20,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,456,454
75,364,3,107,19,1,41,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,1,1,0,4,0,548,544
76,191,0,63,9,3,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,299,296
77,234,0,72,18,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,339,337
78,209,1,79,20,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,343,340
79,227,0,73,20,2,31,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,3,0,2,0,366,364
80,258,1,34,12,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,323,318
81,187,0,61,20,3,7,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,286,284
82,363,0,42,24,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,446
83,245,1,72,19,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,363,359
84,259,7,94,35,7,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,420,420
85,309,1,52,26,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,409,405
86,271,1,80,32,5,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,418,410
87,262,0,62,22,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,359,357
88,297,1,135,26,0,28,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,7,0,500,493
89,245,1,83,20,10,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,391,383
90,231,0,73,18,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,353,346
91,313,2,91,29,7,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,480,470
92,353,1,25,20,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,417,416
93,235,0,121,17,3,24,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,410,403
94,212,1,137,9,3,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,393,389
95,331,0,101,16,2,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,490,484
96,395,3,128,34,3,66,0,0,2,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,1,0,0,9,0,652,643
97,297,4,92,6,4,9,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,3,0,421,418
98,170,2,77,14,2,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,299,297
99,286,1,85,16,7,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,417,416
100,294,2,58,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,376
101,264,0,60,13,3,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,370,367
102,350,0,21,17,3,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,402,402
103,334,2,52,21,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,440,439
104,364,1,36,14,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,431
105,327,1,2,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,349,347
106,354,0,28,15,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,407,405
107,335,8,37,25,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,421,418
108,283,2,23,7,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,325,323
109,522,2,19,18,9,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,579,579
110,419,2,12,9,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,450,449
111,213,0,98,42,1,5,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,363,363
112,238,2,91,18,2,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,390,386
113,255,1,38,11,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,321,320
114,275,1,47,14,1,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,357,353
115,208,3,95,18,13,5,1,0,1,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,4,0,356,352
