station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR,S.SATHISH KUMAR,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
1,0,168,16,132,1,0,11,0,0,0,3,2,0,2,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,342,4,345
2,1,251,16,187,0,0,12,0,0,0,2,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,477,6,481
3,2,157,20,292,0,0,8,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,485,7,493
4,0,91,10,192,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,302,2,305
5,1,190,35,334,1,0,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,21,598
6,1,243,26,202,2,0,22,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,501,6,508
7,1,241,28,264,2,1,30,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,573,17,589
8,1,74,7,86,0,0,10,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,183,3,186
9,0,239,24,269,0,0,18,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,555,8,563
10,0,180,27,209,3,2,17,0,0,0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,445,10,455
11,5,231,26,436,1,0,23,0,0,2,1,1,0,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,735,10,744
12,1,263,30,307,0,1,16,1,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,627,14,642
13,2,111,13,307,1,0,13,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,455,4,459
14,4,136,30,448,1,0,11,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,637,12,649
15,0,64,3,383,1,0,4,1,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,462,7,468
16,1,114,12,593,2,1,15,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,744,9,754
17,1,112,7,335,2,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,467,5,472
18,1,57,11,224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,297,4,301
19,5,411,60,21,0,0,39,1,0,0,2,0,0,2,0,2,0,3,2,2,0,0,1,0,0,0,0,0,0,2,0,553,2,553
20,0,111,16,267,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,2,412
21,1,469,54,189,2,0,21,1,0,0,2,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,746,6,752
22,1,113,24,149,0,0,13,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,304,5,309
23,0,232,38,156,1,0,24,0,1,0,0,0,0,2,0,0,1,1,2,2,0,1,1,0,0,0,1,0,0,0,0,463,4,466
24,2,185,33,274,1,0,7,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,508,10,518
25,0,114,20,400,0,2,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,548,11,559
26,4,526,28,84,1,2,22,0,0,1,2,5,0,1,0,1,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,685,5,689
27,0,122,26,207,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,366,3,369
28,0,144,35,158,0,0,9,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,353,6,359
29,9,554,63,72,1,1,32,0,0,0,2,1,0,2,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,2,746,12,758
30,8,771,107,34,1,3,94,0,0,1,6,0,0,4,0,1,1,4,0,0,0,0,0,2,0,1,0,0,1,0,1,1040,5,1045
31,0,161,12,237,0,1,6,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,425,6,430
