station_no,M SURESH,P K SEKARBABU,R FOUZAN SHARIFF,R MANOHAR,SINORA P S ASHOK,SIVALINGAM ASHOK,ASHOK KUMAR,S GANESH,D KABILAN,M KALAIVENTHAN,SANKAR A,J SHANMUGAPRIYAN,R DINESH,J M NIRAIMOZHI,A NEPOLIAN,BABU SINGH,K E MANOHAR,G VISU,I VINOD,P VIJAYAKUMAR,T VIJAYARAJ,S VEERABATHRAN,V JAGADEESAN,nota,rejected,total,total_valid
1,0,137,5,139,200,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,6,0,495,489
2,0,202,7,83,237,1,0,1,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0,7,0,545,538
3,1,124,7,168,154,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,460,457
4,2,78,4,134,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,309,304
5,3,121,4,193,143,1,0,0,0,0,0,0,0,1,0,4,0,1,0,2,0,0,0,10,0,483,473
6,1,171,11,126,268,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,584,579
7,1,118,12,102,205,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,443,440
8,0,117,4,85,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,353,350
9,2,171,3,135,233,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,554,548
10,2,123,9,117,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,457,454
11,1,122,6,224,182,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,544,541
12,0,111,12,136,174,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,437,437
13,1,118,13,126,168,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,435,432
14,2,104,3,171,116,3,4,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,4,0,414,410
15,2,115,3,221,136,1,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,487,485
16,2,83,3,188,99,2,2,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,5,0,390,385
17,0,67,2,260,77,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,418,411
18,2,70,4,158,79,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,323,317
19,4,114,2,168,100,0,0,1,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,9,0,404,395
20,2,68,2,111,41,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,6,0,236,230
21,14,285,7,64,282,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,657,655
22,1,94,6,128,122,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,354,354
23,1,257,8,72,220,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,565,561
24,0,154,11,146,182,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,504,499
25,3,134,6,129,192,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,8,0,478,470
26,0,179,5,152,153,2,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,7,0,505,498
27,1,123,4,252,127,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,519,515
28,2,279,2,45,220,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,554,553
29,0,222,11,165,167,3,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,2,2,0,578,576
30,0,156,7,128,200,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,500,498
31,4,309,8,58,327,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,714,712
32,2,403,11,78,320,9,0,0,0,0,3,1,0,0,0,1,1,1,0,0,1,0,0,1,0,832,831
33,1,177,7,190,149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,531,527
34,1,258,16,190,254,3,0,3,0,0,4,0,0,1,0,0,2,0,0,1,1,0,0,8,0,742,734
35,3,197,7,124,202,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,542,538
36,3,83,4,202,115,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,9,0,424,415
