station_no,Udhayanidhi Stalin,Raghu C,Abid Bakshq H Hussain,Ravi M L,Rajendran L,Kassali A V A,Tabrez,Mohammed Idris K,Mohamed Rioz,Jayasimmaraja S M,Anandan K,Kannan C,Ganesan P,Krishnadasan S,Chandranathan S,Srinivasan,Senthil Kumar H,Dilliraj P,Nagarajan,Balaji K,Balaji C,Manikandan E,Madhana Gopal T,Mohammed Hussain,Muniyandi,Ravi E,nota,rejected,total,total_valid
1,262,5,0,0,10,25,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,333,330
2,239,13,0,0,3,41,0,19,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,356,351
3,496,5,1,0,10,60,2,3,0,37,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,621,619
4,518,5,2,0,6,51,0,12,0,35,0,0,0,0,2,1,3,1,0,0,0,0,1,0,0,0,5,0,642,637
5,358,9,0,0,8,48,1,4,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,450,447
6,281,3,0,1,9,78,1,14,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,416,414
7,460,2,0,0,14,73,2,10,0,32,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,3,0,602,599
8,277,2,0,0,8,63,0,6,0,24,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,2,0,388,386
9,299,4,1,0,7,19,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,375,368
10,167,2,0,0,2,34,1,11,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,244,236
11,299,2,0,0,14,130,3,46,1,33,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,8,0,542,534
12,304,0,0,0,2,49,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,388,386
13,286,1,0,1,10,71,1,13,1,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,0,427,417
14,325,3,0,1,8,116,1,32,1,43,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,22,0,560,538
15,195,1,0,1,3,77,2,23,0,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,343,337
