station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR S/O SATHYANATHAN.S,S.SATHISH KUMAR S/O SRIRAMULU,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
1,4,515,52,27,0,0,24,0,1,0,1,0,1,1,0,0,1,2,3,0,1,0,0,0,1,1,0,0,1,0,0,636,7,643
2,6,430,76,61,0,0,37,1,0,0,1,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,620,8,628
3,3,440,43,51,2,0,31,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,576,3,579
4,2,489,49,25,1,0,39,1,0,0,4,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,615,5,620
5,3,320,47,19,0,1,16,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,410,7,417
6,4,546,87,80,1,0,47,0,0,0,2,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,775,6,781
7,0,418,75,23,1,0,36,0,0,0,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,564,6,570
8,0,250,57,16,0,0,17,1,0,0,2,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,350,2,352
9,1,219,22,15,0,1,21,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284,3,287
10,0,142,16,37,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,5,213
11,3,269,24,151,0,2,24,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,477,10,487
12,0,560,100,45,0,1,37,0,0,0,2,1,2,2,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,757,3,760
13,1,215,25,83,0,0,34,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,363,3,366
14,0,240,40,162,0,0,18,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,467,8,475
