station_no,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,nota,rejected,total,total_valid
1,27,3,238,2,2,257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,537,535
2,53,12,308,2,0,302,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,4,0,687,683
3,37,21,365,2,0,354,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,784,781
4,36,10,325,4,0,314,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,2,0,697,695
5,52,10,363,1,0,257,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,689,689
6,63,15,293,2,0,320,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,702,699
7,44,7,288,0,0,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,604,601
8,22,8,149,0,0,193,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,377,376
9,8,4,101,0,1,165,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,281
10,28,6,132,1,0,179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,349,347
11,69,10,186,0,1,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,549,548
12,43,8,407,3,2,335,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,804,802
13,39,7,160,1,0,232,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,442,442
14,65,11,149,2,1,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,537,535
15,46,5,144,1,3,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,395,393
16,99,8,233,0,1,264,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,5,0,617,612
17,66,8,124,0,0,246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,448,446
18,47,12,164,0,0,257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,484,483
19,75,9,164,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,484,482
20,74,10,177,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,485,482
21,83,17,177,2,2,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,4,0,589,585
22,85,12,167,1,1,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,497,494
23,84,21,188,0,1,328,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,6,0,632,626
24,80,10,238,2,1,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,580,576
25,55,20,222,1,0,306,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,1,0,0,4,0,618,614
26,82,9,207,0,1,310,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6,0,621,615
27,73,9,181,1,1,279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,550,545
28,41,19,352,2,0,281,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,700,697
29,66,6,170,0,2,251,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,502,500
30,98,22,236,1,0,282,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,648,645
31,83,14,159,0,2,219,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,489,480
32,49,15,261,1,2,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,543,541
33,50,9,272,2,0,431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,768,766
34,73,14,280,1,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,567,565
35,48,10,352,0,0,211,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,626,625
36,32,7,417,0,0,126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,588,585
37,44,17,330,3,0,260,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,6,0,664,658
38,69,13,248,2,0,254,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,592,592
39,66,11,285,0,0,221,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,3,0,593,590
40,70,9,348,0,2,222,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,658,657
41,74,14,354,1,0,253,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,4,0,710,706
42,49,2,270,2,1,248,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,578,576
43,14,3,255,1,0,255,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,536,536
44,61,11,371,0,0,258,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,706,705
45,39,10,260,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,504,502
46,39,10,241,0,1,366,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,661,660
47,23,2,231,0,0,111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,371,371
48,44,3,495,1,1,174,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,2,0,0,0,0,3,0,729,726
49,77,11,220,1,1,266,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,584,581
50,32,11,361,1,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,562
51,77,14,364,1,0,238,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,697,697
52,60,13,390,1,0,217,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,689,688
53,99,7,222,0,0,305,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,642,640
54,33,7,430,4,3,246,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,729,728
55,76,7,237,2,0,214,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,543,539
56,99,9,162,1,0,295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,569,569
57,59,7,338,4,1,349,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,765,764
58,82,21,199,4,0,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,512,509
59,50,13,327,3,0,225,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,623,622
60,101,10,186,2,0,284,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,588,585
61,58,6,291,0,0,271,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,632,632
62,83,6,234,1,1,274,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,612,607
63,25,4,316,2,0,163,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,512,511
64,14,8,408,1,2,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,577,576
65,4,3,457,2,2,77,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,554,554
66,41,10,309,3,0,134,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,503,499
67,54,7,371,0,0,173,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,613,612
69,69,19,239,0,1,176,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,512,508
70,76,8,298,0,0,218,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,606,604
71,54,20,424,1,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,687,686
72,137,11,318,0,0,227,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,698,695
73,30,12,432,2,1,193,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,674,673
74,45,8,484,0,1,205,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,3,0,753,750
75,96,8,130,1,1,153,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,397,391
76,106,11,194,1,0,136,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,459,452
77,24,7,242,1,0,172,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,456,451
78,76,8,278,0,1,183,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,550,548
79,69,16,193,1,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,468,467
80,44,8,240,1,0,217,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,516,514
81,94,17,261,1,1,243,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5,0,629,624
82,61,33,314,1,1,252,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,669,665
83,50,19,351,0,0,236,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,662,659
84,54,18,228,0,0,212,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,518,516
85,38,19,202,1,0,110,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,374,372
86,64,17,313,1,0,264,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,666,663
87,38,9,257,0,0,176,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,487,485
88,72,17,282,1,0,319,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,701,699
89,27,9,231,1,0,265,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,540,539
90,76,13,278,0,2,320,1,0,0,0,1,0,0,0,0,2,2,0,2,1,0,2,5,1,0,0,8,0,715,707
91,77,11,276,2,0,350,0,0,1,1,0,0,0,0,0,2,0,0,0,1,3,2,3,0,0,0,1,0,730,729
92,90,18,248,2,0,359,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,1,0,727,726
93,90,24,170,1,0,344,2,0,2,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,1,0,640,639
94,36,8,114,0,1,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,367,366
95,76,14,128,0,0,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,472,471
96,47,13,249,1,0,414,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,730,730
97,60,21,198,7,1,373,5,0,2,1,0,0,0,0,0,0,1,0,1,0,1,4,2,0,0,1,2,0,681,679
98,60,18,225,1,1,370,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,3,0,687,684
99,215,21,118,2,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,575,567
100,189,21,155,2,3,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,689,688
101,147,17,121,0,0,294,1,0,1,0,0,0,1,0,0,0,1,0,1,0,2,4,0,0,0,0,2,0,593,591
102,41,14,209,1,0,280,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,3,1,0,0,0,1,0,556,555
103,35,13,256,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,563,562
104,53,15,228,3,0,315,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,622,622
105,40,12,240,0,1,229,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,530,529
106,35,14,283,2,1,290,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,632,631
107,244,11,77,0,1,154,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,495,490
108,263,9,112,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,565,565
109,130,18,162,0,2,324,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,5,0,653,648
110,144,11,183,0,0,229,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,2,0,0,7,0,580,573
111,283,19,102,1,1,222,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,5,0,638,633
112,308,23,66,0,0,82,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,490,485
